STATE,Total_Population,Avg_AGI,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT
Louisiana,44537460.0,4.5,2000,1200,21600,0,556600,7700,0,0,0,3039100,164900,28000,2020,18970.56261,29403.54382,48374.10643
Louisiana,44537460.0,4.5,3200,2000,26000,54400,413200,300,0,0,0,3185200,115000,20700,2021,20957.88712,33769.76957,54727.65668
Louisiana,44537460.0,4.5,8200,4000,40200,64200,380100,100,0,0,0,3142800,115500,19100,2023,20990.0,34570.0,55560.0
Louisiana,44537460.0,4.5,5900,2900,31400,60100,397500,100,0,0,0,3159000,115400,19900,2022,21293.38811,35221.0,56514.0
Massachusetts,77959970.0,4.5,10300,11600,107000,0,387200,2600,0,0,0,4667700,74200,37500,2018,3069.173774535,63702.806952745,66771.98072728
Massachusetts,77959970.0,4.5,14100,12900,112400,0,400100,2300,0,0,0,4613000,72600,36800,2019,3052.363118565,61837.419118125,64889.78223669
Massachusetts,77959970.0,4.5,21000,15600,122600,0,418900,2100,0,0,0,4697000,75500,36800,2020,2693.04544,51433.78014,54126.82558
Massachusetts,77959970.0,4.5,30500,22200,138800,17500,306900,400,0,0,0,4816400,59700,30800,2021,2895.17294,56219.81132,59114.98426
Massachusetts,77959970.0,4.5,73800,43800,187300,21300,285000,200,0,0,0,4791300,58400,30000,2023,3122.0,57626.0,60748.0
Massachusetts,77959970.0,4.5,49400,30500,158600,19500,297000,200,0,0,0,4777600,59300,30200,2022,2776.67922,54172.0,56949.0
Maryland,67408230.0,4.5,8400,8400,95300,0,389100,4900,0,0,0,4075000,104600,40700,2018,10647.878763525,49127.556705685,59775.43546921
Maryland,67408230.0,4.5,13200,10000,100700,0,400600,4400,0,0,0,4068900,107000,39400,2019,10712.42020498,49503.47353375499,60215.89373873499
Maryland,67408230.0,4.5,18000,11900,109700,0,406600,4100,0,0,0,4136000,111700,37900,2020,9403.71664,41481.4072,50885.12383
Maryland,67408230.0,4.5,25600,17200,130900,27700,347200,400,0,0,0,4380600,89500,32100,2021,10443.96526,46157.23655,56601.20181
Maryland,67408230.0,4.5,72100,31300,168700,32100,309300,300,0,0,0,4327800,86900,31500,2023,10513.0,46842.0,57356.0
Maryland,67408230.0,4.5,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800,2022,10321.03044,46425.0,56746.0
Maine,15209060.0,4.5,800,1800,19600,0,132700,1400,0,0,0,1006500,31100,11700,2018,10178.4990889,4605.055804315,14783.554893215
Maine,15209060.0,4.5,1300,2200,20600,0,141300,1300,0,0,0,1002000,32500,11200,2019,10251.149263775,4620.318895435,14871.46815921
Maine,15209060.0,4.5,1900,2800,22400,0,148500,1200,0,0,0,1001700,34600,10900,2020,9104.33742,3982.07984,13086.41725
Maine,15209060.0,4.5,3000,4200,25500,9100,112200,100,0,0,0,1044300,27400,8900,2021,10057.06328,4502.76173,14559.825
Maine,15209060.0,4.5,7400,7600,33600,12000,104500,0,0,0,0,1036100,26900,7900,2023,10387.0,4501.0,14888.0
Maine,15209060.0,4.5,5000,5700,28900,10500,109100,0,0,0,0,1028100,26800,7900,2022,10164.51872,4487.0,14651.0
Michigan,107505650.0,4.5,4200,12300,79000,0,1351800,15300,0,0,0,6879900,285300,70300,2018,31203.83749072,71193.72000309,102397.55749381
Michigan,107505650.0,4.5,6600,12400,86500,0,1353800,13100,0,0,0,6786400,224900,67800,2019,31282.22142906,70891.49611584,102173.7175449
Michigan,107505650.0,4.5,10600,12500,93400,0,1348900,11200,0,0,0,6728600,217400,62100,2020,27593.02309,58953.97184,86546.99493
Michigan,107505650.0,4.5,17500,17200,106400,52100,912200,500,100,0,0,7067400,173200,51600,2021,30922.39177,65822.09438,96744.48614
Michigan,107505650.0,4.5,50300,29100,148100,70400,873700,300,0,0,0,7129600,174500,49400,2023,31403.0,66886.0,98289.0
Michigan,107505650.0,4.5,33100,24300,122800,62800,905700,300,100,0,0,7071800,175400,49600,2022,30501.74215,65399.0,95901.0
Minnesota,62612400.0,4.5,4900,4800,71000,0,660700,10700,0,0,0,4078700,138800,42600,2018,24672.07356858,35766.240517155,60438.31408573499
Minnesota,62612400.0,4.5,7700,5800,77400,0,704600,10100,0,0,0,4174400,155100,43800,2019,24827.163405685,35903.81769152499,60730.98109721
Minnesota,62612400.0,4.5,10400,6700,83800,0,722800,9100,0,0,0,4162400,161700,43000,2020,22166.57409,29452.86705,51619.44114
Minnesota,62612400.0,4.5,15000,8900,95200,40100,548700,300,0,0,0,4342800,128700,29800,2021,24548.25742,32622.85195,57171.10937
Minnesota,62612400.0,4.5,37100,16100,124500,52700,516400,100,0,0,0,4219200,127900,24500,2023,23572.0,34474.0,58046.0
Minnesota,62612400.0,4.5,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600,2022,24035.86406,33435.0,57471.0
Missouri,63677360.0,4.5,3500,4200,98600,0,744500,17800,0,0,0,4638300,212900,60600,2018,33166.283766965,43428.71551541,76594.99928237499
Missouri,63677360.0,4.5,4900,5000,86200,0,764500,15900,0,0,0,4591200,219600,55900,2019,34509.58136636,44658.668508995,79168.24987535499
Missouri,63677360.0,4.5,6700,5300,77600,0,744100,14000,0,0,0,4442300,212200,52100,2020,32529.53124,40267.50575,72797.03699
Missouri,63677360.0,4.5,10000,7200,85600,55800,602500,1800,100,0,0,4582100,172100,40700,2021,36463.90881,43327.01843,79790.92724
Missouri,63677360.0,4.5,26900,13900,113900,70400,575500,900,100,0,0,4608600,178200,37600,2023,36368.0,44457.0,80825.0
Missouri,63677360.0,4.5,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900,2022,36269.47762,43161.0,79431.0
Mississippi,28051300.0,4.5,300,500,13600,0,342300,6300,0,0,0,2125900,89700,15000,2018,23832.70079006,16897.73870031,40730.43949037
Mississippi,28051300.0,4.5,500,600,14400,0,366500,5600,0,0,0,2166800,95100,14800,2019,23995.593878215,17095.31667303,41090.91055124501
Mississippi,28051300.0,4.5,800,700,15800,0,381000,5000,0,0,0,2197800,99600,13800,2020,23288.7573,16376.33019,39665.08749
Mississippi,28051300.0,4.5,1300,1100,18700,27400,305000,200,0,0,0,2289900,76000,9600,2021,24284.42729,16568.39795,40852.82524
Mississippi,28051300.0,4.5,3600,2000,28200,34900,295200,100,0,0,0,2275600,75200,8500,2023,24281.0,16663.0,40944.0
Mississippi,28051300.0,4.5,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100,2022,23648.06066,16304.0,39952.0
Montana,11752250.0,4.5,500,400,10000,0,123700,4400,0,0,0,729000,89600,18400,2018,8754.20098647,3945.43500394,12699.63599041
Montana,11752250.0,4.5,700,500,10500,0,129000,3900,0,0,0,717800,90900,16800,2019,8940.817865635001,3951.12966751,12891.947533145
Montana,11752250.0,4.5,900,600,11200,0,130600,3600,0,0,0,714000,93100,16400,2020,8423.37753,3680.71381,12104.09134
Montana,11752250.0,4.5,1600,1100,13900,27500,100500,100,0,0,0,761800,70900,12200,2021,9448.53008,4033.13858,13481.66866
Montana,11752250.0,4.5,4600,2500,21100,37900,94500,0,0,0,0,780700,69600,10800,2023,9689.0,4011.0,13700.0
Montana,11752250.0,4.5,3300,1700,17100,33200,98000,0,0,0,0,765400,69900,11000,2022,9314.4931,4199.0,13514.0
North Carolina,106736160.0,4.5,7300,6500,119400,0,791100,22300,0,0,0,7205800,229300,99200,2018,41165.72521638,79961.523407185,121127.248623565
North Carolina,106736160.0,4.5,11600,8100,126600,0,846400,20600,0,0,0,7311100,242600,96300,2019,41618.065331635,80856.588686515,122474.65401815
North Carolina,106736160.0,4.5,16200,9300,133400,0,878800,19700,0,0,0,7376600,256300,93400,2020,36857.0339,69485.33147,106342.36536
North Carolina,106736160.0,4.5,25200,13500,151600,61000,687700,800,200,0,0,7685800,210000,77000,2021,40605.78279,77128.65113,117734.43391
North Carolina,106736160.0,4.5,70200,23700,210600,80200,655000,300,100,0,0,7764000,209700,71700,2023,52938.0,69319.0,122258.0
North Carolina,106736160.0,4.5,45600,18800,175300,71300,675300,300,100,0,0,7700300,209600,73700,2022,41032.69026,78348.0,119381.0
North Dakota,8128390.0,4.5,100,200,3700,0,133300,4300,0,0,0,560300,54700,15900,2018,6882.111108245001,2973.55256034,9855.663668585
North Dakota,8128390.0,4.5,200,200,4000,0,135800,4000,0,0,0,563900,56700,14000,2019,6875.846227915,2950.22204307,9826.068270985
North Dakota,8128390.0,4.5,200,300,4400,0,135600,3700,0,0,0,567200,57700,12500,2020,5886.06268,2881.5381,8767.60078
North Dakota,8128390.0,4.5,400,400,5400,16000,95700,100,0,0,0,607000,42800,9000,2021,6291.90725,2963.75917,9255.66642
North Dakota,8128390.0,4.5,1000,800,8200,20400,89900,0,0,0,0,625300,44600,7200,2023,6850.0,3046.0,9896.0
North Dakota,8128390.0,4.5,600,600,6600,18300,93500,0,0,0,0,614300,43800,7800,2022,6285.24281,2895.0,9180.0
Nebraska,20497970.0,4.5,900,1000,16800,0,246300,8400,0,0,0,1474400,84200,34000,2018,11616.948929975,9357.786163405,20974.73509338
Nebraska,20497970.0,4.5,1300,1100,18200,0,256900,7700,0,0,0,1476500,87000,32400,2019,11663.177181025,9578.614976925,21241.79215795
Nebraska,20497970.0,4.5,1800,1300,20200,0,262800,7200,0,0,0,1482500,90400,31700,2020,10836.16826,8595.69645,19431.86472
Nebraska,20497970.0,4.5,2700,2000,23700,21600,202500,200,0,0,0,1574900,73800,27300,2021,11868.76725,9340.89903,21209.66629
Nebraska,20497970.0,4.5,6900,3800,32600,28900,197100,100,0,0,0,1600400,76100,25300,2023,11628.0,9646.0,21275.0
Nebraska,20497970.0,4.5,4600,2900,27300,25600,201800,100,0,0,0,1576900,75100,25900,2022,11630.48252,9640.0,21270.0
New Hampshire,16005250.0,4.5,1200,2000,20700,0,124700,1400,0,0,0,1145600,33600,15800,2018,5484.04074194,8292.43231433,13776.47305627
New Hampshire,16005250.0,4.5,1900,2200,21900,0,133100,1300,0,0,0,1156800,35000,15700,2019,5554.192995515,8273.928487855,13828.12148337
New Hampshire,16005250.0,4.5,2700,2500,23300,0,135900,1200,0,0,0,1159600,37600,15800,2020,4937.32022,7018.93554,11956.25576
New Hampshire,16005250.0,4.5,4000,3500,27000,11300,102800,200,0,0,0,1187400,29300,12700,2021,5429.04692,7700.76079,13129.80771
New Hampshire,16005250.0,4.5,9900,6600,36800,13900,89600,100,0,0,0,1185300,29200,12300,2023,5420.0,8095.0,13515.0
New Hampshire,16005250.0,4.5,7000,4800,31100,12900,95400,100,0,0,0,1180700,29400,12300,2022,5484.23928,7796.0,13281.0
New Jersey,100493600.0,4.5,13400,10800,89200,0,540100,3800,0,0,0,6333400,109700,50700,2018,4867.9992987000005,72670.9118732,77538.9111719
New Jersey,100493600.0,4.5,20200,11700,99900,0,561100,3300,0,0,0,6384100,110900,51400,2019,4967.38190385,73237.91529499,78205.29719884
New Jersey,100493600.0,4.5,30400,12800,104600,0,548400,2900,0,0,0,6227300,106700,47000,2020,4250.79073,62090.35922,66341.14996
New Jersey,100493600.0,4.5,47800,18500,121500,23900,412200,500,100,0,0,6346100,86400,38100,2021,4695.89319,68976.86422,73672.75741
New Jersey,100493600.0,4.5,134800,40900,174200,27800,392100,300,0,0,0,6433000,84600,36400,2023,4841.0,73165.0,78007.0
New Jersey,100493600.0,4.5,87000,26800,142600,25900,404200,300,0,0,0,6339500,85500,36900,2022,4755.77124,70532.0,75288.0
New Mexico,21264720.0,4.5,1300,1300,25000,0,183700,6900,0,0,0,1478700,100000,33500,2018,16179.404605945,11108.902366165,27288.306972110004
